1,1,118,l,30000,1000,0.002,2.5
1,2,115,l,20000,1000,0.002,2.5
1,3,114.5,l,30000,1000,0.002,2.5
1,4,111,l,30000,1000,0.002,2.5
2,1,117,l,30000,1000,0.002,2.5
2,2,116.5,l,15000,1000,0.002,2.5
2,3,114.5,l,20000,1000,0.002,2.5
2,4,110,l,40000,1000,0.002,2.5
2,5,110.3,l,50000,1000,0.002,2.5
2,6,110.5,l,40000,1000,0.002,2.5
2,7,111,l,40000,1000,0.002,2.5
3,1,115,l,50000,800,0.001,3
3,2,114.5,f,30000,800,0.001,3
3,3,114,f,30000,800,0.001,3
3,4,113,f,30000,800,0.001,3
3,5,110,f,30000,1000,0.002,2.5
3,6,109.5,l,30000,1000,0.002,2.5
3,7,108,l,30000,1000,0.002,2.5
3,8,111,l,30000,1000,0.002,2.5
4,2,116,f,30000,400,0.001,6.5
4,3,115.5,f,30000,400,0.001,6.5
4,4,115,f,30000,400,0.001,6.5
4,5,113,f,30000,400,0.001,6.5
4,6,110,l,30000,1000,0.002,2.5
4,7,108,l,30000,1000,0.002,2.5
4,8,108,l,30000,1000,0.002,2.5
4,9,111,f,30000,1000,0.002,2.5
4,13,115,l,20000,400,0.001,6.5
5,2,116,f,40000,600,0.001,6.5
5,3,115.5,f,40000,600,0.001,6.5
5,4,115,f,40000,600,0.001,6.5
5,5,112,f,40000,600,0.001,6.5
5,6,111,l,40000,600,0.001,6.5
5,7,107.5,l,40000,600,0.002,6.5
5,8,110,l,40000,600,0.002,6.5
5,9,113,f,40000,600,0.001,6.5
5,11,114,l,20000,900,0.001,6.5
5,12,115,f,30000,900,0.001,6.5
5,13,114,f,40000,900,0.001,6.5
5,14,115,f,40000,900,0.001,6.5
6,3,116,f,50000,900,0.001,6.5
6,4,115,f,50000,1000,0.001,6.5
6,5,114,f,50000,900,0.001,6.5
6,6,112,f,50000,1000,0.001,6.5
6,7,107,f,50000,900,0.001,6.5
6,8,110,f,50000,900,0.001,6.5
6,9,114,f,50000,900,0.001,6.5
6,10,114,f,50000,900,0.001,6.5
6,11,113,f,50000,1000,0.002,2.5
6,12,113,f,50000,900,0.001,6.5
6,13,113,f,50000,1000,0.002,2.5
6,14,114.5,f,50000,900,0.001,6.5
6,15,112,f,50000,1000,0.002,2.5
7,4,116,f,50000,900,0.001,6.5
7,5,115.5,f,50000,900,0.001,6.5
7,6,114,f,50000,900,0.001,6.5
7,7,107.5,w,0,0,1,20
7,8,114,f,50000,900,0.001,6.5
7,9,113.5,f,50000,900,0.001,6.5
7,10,113,l,40000,1000,0.002,2.5
7,11,114,f,40000,1000,0.002,2.5
7,12,112,f,40000,1000,0.002,2.5
7,13,111,f,40000,1000,0.002,2.5
7,14,114,l,35000,1000,0.002,2.5
7,15,110,f,40000,1000,0.002,2.5
8,6,115,f,50000,900,0.001,6.5
8,7,112,f,50000,900,0.001,6.5
8,8,111.5,w,0,0,0,1,20
8,9,112,l,30000,1000,0.002,2.5
8,10,115,l,30000,1000,0.002,2.5
8,11,111.5,w,0,0,0,1,20
8,12,111.5,w,0,0,0,1,20
8,13,111.5,w,0,0,0,1,20
8,14,108,f,50000,900,0.001,6.5
8,15,110,f,50000,900,0.001,6.5
8,16,109,f,50000,900,0.001,6.5
8,17,109,f,50000,900,0.001,6.5
9,7,113,f,50000,1000,0.001,6.5
9,8,112,f,50000,1000,0.001,6.5
9,9,111.5,w,0,0,0,1,20
9,10,112,f,50000,1000,0.001,6.5
9,11,113,f,50000,1000,0.001,6.5
9,12,112,f,50000,1000,0.001,6.5
9,13,112,f,50000,1000,0.001,6.5
9,14,111,f,50000,1000,0.001,6.5
9,15,109.5,w,0,0,0,1,20
9,16,110,f,50000,1000,0.001,6.5
9,17,109,f,50000,1000,0.001,6.5
10,7,114,f,50000,1000,0.001,6.5
10,8,114,f,50000,1000,0.001,6.5
10,9,113,f,50000,1000,0.001,6.5
10,10,113,f,50000,1000,0.001,6.5
10,12,114,f,50000,1000,0.001,6.5
10,13,113,f,50000,1000,0.001,6.5
10,14,113,f,50000,1000,0.001,6.5
10,15,113,f,50000,1000,0.001,6.5
10,16,111,f,50000,1000,0.001,6.5
11,9,114,f,40000,1000,0.001,6.5
11,10,114,f,40000,1000,0.001,6.5
