iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
5,2.069e+03,2.82e+08,2.48e+09,2.85e+06
5,2.223e+03,3.05e+08,4.39e+09,3.07e+06
5,1.995e+03,2.71e+08,1.89e+09,2.73e+06
5,2.613e+03,3.54e+08,2.06e+09,3.53e+06
5,2.353e+03,3.23e+08,1.41e+09,3.19e+06
5,2.208e+03,3.11e+08,2.09e+09,3.09e+06
5,2.062e+03,2.82e+08,3.05e+09,2.83e+06
5,2.093e+03,2.92e+08,3.60e+09,2.93e+06
5,2.637e+03,3.65e+08,1.43e+09,3.65e+06
5,2.193e+03,3.04e+08,2.55e+09,3.01e+06
5,2.054e+03,2.86e+08,3.49e+09,2.86e+06
5,2.077e+03,2.86e+08,3.30e+09,2.86e+06
5,2.353e+03,3.17e+08,1.97e+09,3.21e+06
5,1.851e+03,2.57e+08,4.51e+09,2.57e+06
5,1.727e+03,2.41e+08,1.33e+09,2.41e+06
5,2.252e+03,3.07e+08,2.17e+09,3.07e+06
5,2.336e+03,3.19e+08,1.60e+09,3.20e+06
5,2.541e+03,3.47e+08,2.03e+09,3.44e+06
5,2.340e+03,3.16e+08,2.65e+09,3.17e+06
5,2.329e+03,3.17e+08,1.61e+09,3.12e+06
5,2.273e+03,3.07e+08,3.08e+09,3.12e+06
5,1.980e+03,2.69e+08,1.87e+09,2.69e+06
5,1.936e+03,2.67e+08,1.68e+09,2.69e+06
5,2.045e+03,2.80e+08,1.09e+09,2.79e+06
5,2.011e+03,2.74e+08,1.64e+09,2.76e+06
5,2.253e+03,3.09e+08,1.75e+09,3.12e+06
5,2.205e+03,3.02e+08,9.24e+08,3.03e+06
5,1.669e+03,2.26e+08,2.13e+09,2.26e+06
5,2.417e+03,3.29e+08,1.72e+09,3.29e+06
5,2.103e+03,2.83e+08,1.65e+09,2.86e+06
5,2.433e+03,3.30e+08,2.11e+09,3.30e+06
5,2.646e+03,3.63e+08,1.86e+09,3.65e+06
5,1.756e+03,2.35e+08,2.59e+09,2.36e+06
5,1.944e+03,2.64e+08,1.78e+09,2.64e+06
5,2.078e+03,2.83e+08,1.48e+09,2.87e+06
5,1.876e+03,2.51e+08,1.78e+09,2.51e+06
5,2.481e+03,3.42e+08,2.64e+09,3.41e+06
5,1.938e+03,2.61e+08,1.15e+09,2.64e+06
5,2.349e+03,3.21e+08,1.59e+09,3.21e+06
5,2.137e+03,2.87e+08,9.22e+08,2.87e+06
5,2.219e+03,3.03e+08,2.15e+09,3.04e+06
5,2.413e+03,3.23e+08,3.01e+09,3.22e+06
5,2.189e+03,2.99e+08,2.36e+09,2.95e+06
5,2.488e+03,3.43e+08,2.71e+09,3.36e+06
5,1.819e+03,2.48e+08,1.48e+09,2.47e+06
5,1.842e+03,2.53e+08,3.11e+09,2.54e+06
5,2.067e+03,2.81e+08,2.33e+09,2.83e+06
5,2.200e+03,2.93e+08,1.63e+09,2.97e+06
5,2.286e+03,3.10e+08,1.16e+09,3.11e+06
5,1.713e+03,2.35e+08,3.83e+09,2.34e+06
5,2.354e+03,3.20e+08,1.65e+09,3.22e+06
5,2.198e+03,2.96e+08,2.92e+09,2.97e+06
5,1.897e+03,2.60e+08,1.87e+09,2.60e+06
5,1.976e+03,2.74e+08,2.38e+09,2.74e+06
5,2.379e+03,3.33e+08,2.09e+09,3.34e+06
5,2.385e+03,3.30e+08,1.40e+09,3.25e+06
5,2.423e+03,3.31e+08,3.49e+09,3.31e+06
5,2.634e+03,3.63e+08,2.85e+09,3.55e+06
5,1.903e+03,2.58e+08,3.11e+09,2.58e+06
5,1.772e+03,2.45e+08,1.68e+09,2.48e+06
5,2.211e+03,3.04e+08,1.99e+09,3.05e+06
5,2.277e+03,3.09e+08,2.91e+09,3.09e+06
5,2.382e+03,3.31e+08,1.91e+09,3.32e+06
5,2.380e+03,3.30e+08,9.70e+08,3.32e+06
5,2.183e+03,2.95e+08,2.94e+09,2.96e+06
5,1.719e+03,2.37e+08,2.23e+09,2.37e+06
5,2.293e+03,3.12e+08,1.76e+09,3.15e+06
5,1.837e+03,2.50e+08,2.59e+09,2.49e+06
5,2.451e+03,3.31e+08,2.11e+09,3.31e+06
5,2.392e+03,3.31e+08,1.76e+09,3.28e+06
5,2.279e+03,3.12e+08,1.09e+09,3.13e+06
5,2.277e+03,3.11e+08,2.47e+09,3.09e+06
5,1.970e+03,2.70e+08,2.01e+09,2.72e+06
