iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
105,4.315e+02,4.11e+06,0.00e+00,1.01e+05
106,4.034e+02,4.85e+06,6.61e+07,1.34e+05
107,2.739e+02,4.33e+06,7.13e+07,1.18e+05
108,3.648e+02,3.96e+06,4.63e+08,1.13e+05
109,2.960e+02,4.69e+06,1.72e+08,1.11e+05
110,3.763e+02,4.42e+06,1.02e+08,1.04e+05
111,4.261e+02,4.17e+06,1.34e+08,9.88e+04
112,3.400e+02,4.27e+06,3.87e+07,1.09e+05
113,3.414e+02,4.03e+06,4.28e+07,8.69e+04
114,3.588e+02,5.28e+06,5.88e+07,1.17e+05
115,3.584e+02,4.46e+06,1.20e+08,1.13e+05
116,3.958e+02,5.54e+06,1.05e+08,1.29e+05
117,3.577e+02,4.04e+06,2.97e+08,1.04e+05
118,2.833e+02,4.62e+06,9.69e+07,1.21e+05
119,3.822e+02,4.24e+06,5.67e+07,1.10e+05
120,3.001e+02,4.22e+06,4.40e+07,1.13e+05
121,3.472e+02,3.88e+06,1.06e+07,9.55e+04
122,3.287e+02,4.10e+06,8.62e+07,1.04e+05
123,4.200e+02,3.83e+06,9.69e+06,8.87e+04
124,3.212e+02,4.77e+06,2.19e+08,1.37e+05
125,3.480e+02,5.61e+06,3.24e+07,1.66e+05
126,3.784e+02,5.14e+06,1.75e+08,1.35e+05
127,3.323e+02,4.60e+06,1.43e+08,1.17e+05
128,4.372e+02,5.07e+06,1.16e+08,1.15e+05
129,3.458e+02,4.21e+06,5.61e+07,9.88e+04
130,4.018e+02,4.73e+06,7.17e+07,1.29e+05
131,3.492e+02,4.80e+06,1.94e+08,1.52e+05
132,3.159e+02,4.34e+06,4.43e+07,1.12e+05
133,3.167e+02,4.47e+06,1.48e+07,1.17e+05
134,3.333e+02,4.81e+06,1.91e+08,1.21e+05
135,4.157e+02,5.82e+06,2.15e+08,1.66e+05
136,3.372e+02,3.87e+06,2.04e+08,8.80e+04
137,3.738e+02,4.45e+06,6.05e+07,1.05e+05
138,3.262e+02,3.60e+06,3.05e+07,9.60e+04
139,4.520e+02,4.77e+06,9.21e+07,1.19e+05
140,3.778e+02,5.95e+06,3.83e+07,1.57e+05
141,3.490e+02,3.93e+06,2.16e+08,1.07e+05
142,4.100e+02,4.28e+06,2.09e+08,1.14e+05
143,3.467e+02,3.55e+06,4.39e+07,9.10e+04
144,3.895e+02,4.59e+06,1.32e+07,1.26e+05
145,2.501e+02,3.76e+06,3.83e+07,9.88e+04
146,4.102e+02,4.41e+06,1.84e+08,1.12e+05
147,3.531e+02,3.80e+06,7.37e+07,8.70e+04
148,4.218e+02,5.42e+06,1.69e+08,1.46e+05
149,3.836e+02,4.93e+06,3.13e+08,1.38e+05
150,3.668e+02,4.69e+06,2.28e+08,1.05e+05
151,3.428e+02,4.23e+06,1.05e+08,9.74e+04
152,3.547e+02,4.75e+06,2.05e+07,1.28e+05
153,3.727e+02,4.74e+06,4.52e+07,1.18e+05
154,4.291e+02,5.23e+06,2.06e+07,1.54e+05
155,3.723e+02,4.72e+06,6.17e+07,1.37e+05
156,3.541e+02,4.95e+06,2.42e+07,1.25e+05
157,3.643e+02,3.72e+06,2.16e+08,9.55e+04
158,2.556e+02,4.04e+06,2.60e+08,1.03e+05
159,2.740e+02,4.53e+06,1.60e+08,1.04e+05
160,3.715e+02,5.45e+06,8.60e+07,1.48e+05
161,3.162e+02,5.12e+06,1.27e+08,1.17e+05
162,3.862e+02,4.65e+06,2.14e+08,1.09e+05
163,4.127e+02,4.47e+06,1.15e+08,1.10e+05
164,3.368e+02,5.36e+06,5.84e+07,1.28e+05
165,3.787e+02,4.11e+06,1.10e+08,1.07e+05
166,3.211e+02,4.58e+06,1.01e+08,1.22e+05
167,3.407e+02,4.21e+06,5.66e+07,1.15e+05
168,3.822e+02,4.53e+06,1.21e+08,1.21e+05
169,3.596e+02,5.40e+06,1.34e+07,1.41e+05
170,4.543e+02,4.41e+06,5.97e+07,1.08e+05
171,3.201e+02,4.24e+06,1.76e+08,1.21e+05
172,3.241e+02,4.96e+06,7.27e+07,1.28e+05
173,3.520e+02,5.15e+06,1.57e+08,1.43e+05
